Designation,LCDB_Period [hours],Best_Period [hours],Manual_Overwrite,Reliability_Flag,Comments,#Minima,Chi2_g,Chi2_r,Avg_Chi2,N_obs_g,N_obs_r,Amplitude,Peak_Period,Half_Period,Twice_Period,Diameter,Diameter_Unit
588,7.306,4.81,,1,,2,4.20472878,2.306200893,3.255464837,73,132,0.1520389517,9.012,4.81,18.06,130.099,km
624,6.924,6.92,,3,,2,3.764299402,2.969744355,3.367021878,92,214,0.3145844488,3.46,1.72,6.92,225,km
659,15.98,9.586,,2,,2,1.236996599,1.230387781,1.23369219,46,124,0.1489446645,9.586,4.793,17.968,112.32,km
911,6.592,6.582,,3,,2,3.307677209,4.447780596,3.877728902,78,215,0.1504888176,3.291,1.714,6.582,131.038,km
1143,10.114,5.056,10.111,3,,2,2.280273958,1.55288538,1.916579669,67,115,0.08701515289,10.111,5.056,19.228,114.624,km
1404,29.411,29.397,,3,,2,0.9638800768,1.027204429,0.9955422529,95,197,0.1121232591,14.699,7.239,29.397,83.99,km
1437,24.49,24.495,,3,,2,3.903096747,4.005486722,3.954291735,132,332,0.2471333747,24.495,11.99,48.051,117.786,km
1583,15.759,11.982,15.759,3,,2,1.601092255,1.285490069,1.443291162,104,253,0.1016306858,24.147,11.982,35.946,108.842,km
1647,17.74,17.749,,3,,2,1.05939688,1.324596372,1.191996626,69,108,0.1044683813,8.875,4.204,17.749,42.716,km
1749,16.975,24.117,11.992,2,,2,0.7968380093,1.198632865,0.9977354371,56,97,0.06236757346,24.117,11.992,36.039,64.898,km
1868,10.492,10.477,,3,,2,2.638313078,1.74438682,2.191349949,80,123,0.1345699355,10.477,5.238,20.117,68.163,km
2363,20.099,47.9,20.099,2,,2,1.616759135,1.743271972,1.680015554,98,186,0.1543118422,47.9,23.956,49.949,95.976,km
2456,7.24,3.626,7.24,3,,2,2.445065787,2.361756913,2.40341135,67,144,0.1072190785,7.252,3.626,15.598,65.916,km
2797,10.145,24.102,10.145,2,,2,1.160381258,2.193130012,1.676755635,51,84,0.1381908651,24.102,11.993,24.563,89.43,km
2893,8.945,8.95,,3,,2,1.346044092,1.361152702,1.353598397,55,98,0.1558545839,4.475,2.314,8.95,86.884,km
2895,7.516,3.76,,1,,1,1.231038534,1.267116054,1.249077294,57,134,0.1634496316,3.76,2.02,7.985,56.706,km
2920,10.212,8.417,,3,Wrong LCDB?,2,2.843698698,3.19373534,3.018717019,127,224,0.1503117236,15.319,8.417,23.955,88.574,km
3063,8.64,4.788,,1,,2,1.181781887,1.275619401,1.228700644,86,202,0.03472338133,10.249,4.788,19.569,111.655,km
3317,7.0812,9.629,,1,,2,1.801544984,1.739186533,1.770365758,123,216,0.06663279816,9.629,4.814,17.344,118.79,km
3391,8.135,8.137,,3,,2,0.9797582914,0.9271673891,0.9534628402,82,134,0.2488729399,8.137,4.069,14.706,37.862,km
3451,7.702,6.85,,3,Wrong LCDB,2,3.617529006,2.501442254,3.05948563,78,196,0.1059555707,14.376,6.85,17.99,126.288,km
3548,8.711,4.771,,2,,2,1.676073896,1.431026251,1.553550074,63,134,0.06858067665,9.438,4.771,17.947,63.885,km
3564,40.59,40.502,,3,,2,0.7597259096,1.142987546,0.951356728,81,124,0.1295232707,40.502,20.251,88.084,73.73,km
3596,12.96,24.145,,1,,2,1.171547823,0.8623261703,1.016936997,78,184,0.1076620724,24.145,12.003,27.968,87.38,km
3709,10.039,23.893,,1,,2,1.523299718,1.583679319,1.553489518,87,146,0.1885599967,23.893,11.982,24.756,65.297,km
3793,5.621,4.798,,1,,2,2.317020556,2.576418009,2.446719282,58,116,0.1750385912,4.798,2.399,10.28,112.046,km
3794,12.877,12.841,,3,,2,0.7656956953,0.8794077752,0.8225517352,54,195,0.1353432266,12.841,6.42,27.653,34.531,km
3801,20.27,24.762,20.27,3,,2,0.7156518737,0.9299729935,0.8228124336,84,138,0.0892200393,24.762,12.007,48.121,34.285,km
4035,13.467,13.475,,3,,2,1.212228349,1.561664643,1.386946496,78,130,0.1153039099,13.475,6.738,28.1,68.733,km
4068,14.4,14.334,,3,,2,1.869603534,1.684980786,1.77729216,58,126,0.1655035856,14.334,7.167,30.688,67.625,km
4501,6.941,6.936,,3,,2,0.5828801665,0.7315076641,0.6571939153,99,172,0.1357723132,6.936,3.468,14.64,45.524,km
4543,38.866,38.822,,3,,2,1.563132028,1.350437446,1.456784737,95,298,0.1486921154,38.822,19.412,82.807,63.836,km
5012,46,16.69,,2,,2,0.9369798098,0.924406572,0.9306931909,48,86,0.1142838861,16.69,7.943,33.381,36.96,km
5023,5.402,6.087,,2,,2,0.9426101502,0.7346600566,0.8386351034,57,116,0.05427678119,3.044,1.504,6.087,27.85,km
5025,250,407.082,,2,,2,0.8258927242,0.9743475503,0.9001201372,51,117,0.1178758712,407.082,203.802,611.037,39.843,km
5041,6.52,6.523,,3,,2,0.8422524361,0.8383480369,0.8403002365,69,198,0.1541361984,3.262,1.671,6.523,41.899,km
5209,,11.604,,3,,2,0.950126832,0.8856162692,0.9178715506,115,280,0.1952797777,5.802,2.95,11.604,48.197,km
5244,9.766,9.787,,3,,2,0.9702473125,1.08821663,1.029231971,48,110,0.3099900512,4.893,2.224,9.787,36.689,km
5258,19.85,47.899,,1,,2,1.063494683,1.307430674,1.185462678,53,113,0.2670328766,47.899,24.011,48.645,53.275,km
5259,18.42,12.11,,2,,2,0.9545080188,0.6689077951,0.8117079069,57,118,0.06666265534,24.139,12.11,45.35,44.741,km
5284,10.31,7.847,,2,,2,1.100791963,0.9030296211,1.001910792,83,77,0.05403042558,15.683,7.847,23.35,50.159,km
5285,12.04,9.61,,3,Wrong LCDB?,2,0.9165266343,1.259369727,1.08794818,67,82,0.1364582011,4.805,2.633,9.61,49.606,km
5436,38.41,21.272,,3,Wrong LCDB?,2,1.144211997,1.600534537,1.372373267,65,117,0.3032957732,21.272,10.636,38.289,37.696,km
5648,37.56,37.658,,3,,2,1.017746467,1.168320279,1.093033373,64,87,0.1067282893,37.658,18.829,74.588,59.295,km
6090,18.476,23.82,,1,,3,1.157923545,1.450251062,1.304087303,124,189,0.1577440951,23.82,11.981,45.241,59.568,km
6545,16.26,12.173,,3,Wrong LCDB; good example,2,1.011825538,1.115502901,1.06366422,122,295,0.1141740863,12.173,6.087,24.485,50.951,km
6997,,20.885,,2,,2,1.598279394,1.603963798,1.601121596,51,85,0.2191868985,11.154,5.777,20.885,37.549,km
7119,400,983.852,,2,,2,3.037515508,3.065095884,3.051305696,208,324,0.131606866,648.189,314.493,983.852,59.15,km
7214,,11.501,,2,,2,0.5057214742,0.7432809021,0.6245011881,55,82,0.114636918,25.513,11.501,54.607,19.996,km
7543,17.8,24.312,17.8,2,,2,1.362038938,1.122617712,1.242328325,78,150,0.1289825505,24.312,11.99,43.993,42.893,km
7641,27.77,27.805,,3,,2,1.116755074,1.129757403,1.123256239,231,413,0.2127307296,13.902,6.436,27.805,71.839,km
7815,,28.841,57.681,3,,2,0.913783114,0.8715779826,0.8926805483,69,83,0.09988850436,28.841,13.081,57.681,42.516,km
8060,6.47686,9.597,,1,,2,1.049128206,1.116456051,1.082792129,57,207,0.0984649584,4.799,2.4,9.597,37.873,km
8125,,52.608,,3,,2,2.219905151,2.398346175,2.309125663,87,265,0.3074065723,26.304,12.55,52.608,27.088,km
8241,17.89,17.901,,3,,2,0.6063443866,0.5817744106,0.5940593986,61,132,0.1603714716,8.951,4.221,17.901,27.174,km
8317,,44.48,,2,,2,0.4802261796,0.7066035212,0.5934148504,57,144,0.1001378013,44.48,20.312,57.651,26.21,km
9023,30.66,27.888,,2,,2,0.7751830225,0.827098795,0.8011409087,95,145,0.08330842221,27.888,13.944,56.079,49.151,km
9431,,19.871,,3,,2,0.8703809932,0.9752722895,0.9228266414,82,114,0.2214815817,19.871,9.935,40.729,38.358,km
9694,18.2,18.113,,3,,2,0.7238600805,0.8057621425,0.7648111115,66,82,0.2145170839,18.113,9.057,37.048,31.736,km
9799,21.52,21.726,,3,,2,0.8518746227,1.055866906,0.9538707644,196,392,0.08290225265,21.726,11.389,43.452,68.033,km
9807,346,329.681,,3,,2,0.811419933,0.7909713915,0.8011956623,52,96,0.2448083605,164.852,84.023,329.681,24.683,km
9857,,16.973,,3,,2,0.7033893014,0.7465330529,0.7249611772,135,343,0.08614220991,16.973,8.486,33.382,49.518,km
10247,34.26,39.325,34.26,3,,3,0.513970103,0.6861534793,0.6000617912,60,91,0.1304430994,39.325,18.782,82.442,26.826,km
10664,,7.879,,3,,2,0.6305912814,0.7577875315,0.6941894064,97,187,0.1177669137,3.94,1.838,7.879,30.963,km
11252,9.15,6.559,,2,,2,0.6359421041,0.8453635227,0.7406528134,48,86,0.07676126641,13.119,6.559,19.677,41.093,km
11351,445.683,447.805,,3,,2,0.9391087763,0.9921642744,0.9656365254,92,223,0.3418035975,223.928,114.222,447.805,34.155,km
11395,17.383,35.898,17.383,3,,2,0.8000215498,1.10851866,0.9542701051,110,177,0.1512293438,35.898,17.964,41.117,68.977,km
11397,12.7,11.982,,2,,2,1.246695328,1.398948458,1.322821893,122,262,0.09863742329,23.887,11.982,27.142,45.431,km
12238,7.284,7.282,,3,,2,0.9505085559,0.9335359988,0.9420222773,77,147,0.1453489366,3.641,1.97,7.282,30.252,km
12658,,12.228,,1,,1,0.6334569928,0.6612815784,0.6473692856,60,163,0.271460435,12.228,6.176,24.973,26.458,km
12714,28.48,28.465,,3,,2,0.7865213017,0.8140990465,0.8003101741,65,122,0.08081452337,28.465,14.234,56.028,47.819,km
12916,,71.861,,1,,3,0.7076762823,0.744095956,0.7258861192,117,198,0.1031170197,71.861,35.921,71.96,22.289,km
12917,,24.194,,2,,2,0.580523869,0.73811266,0.6593182645,56,125,0.124360755,24.194,12.065,49.302,24.505,km
13060,,41.433,,3,,2,1.380356654,2.032197309,1.706276982,171,275,0.1900025665,41.433,20.717,62.151,36.148,km
13062,,47.898,,2,,2,1.150867295,1.3574568,1.254162048,70,135,0.1730662497,47.898,24.026,71.853,28.958,km
13182,,47.843,,1,,2,0.8713147595,0.5957940827,0.7335544211,68,143,0.09772267616,47.843,23.918,71.763,30.901,km
13183,20.232,11.989,20.232,2,,2,1.414737306,1.319085692,1.366911499,82,180,0.1508385468,23.887,11.989,48.107,41.483,km
13184,11.934,23.777,11.934,3,,2,0.5713707601,0.816301798,0.693836279,90,172,0.07737568316,23.777,11.931,28.08,33.962,km
13230,42.4,42.806,,3,,2,0.5423375435,0.7929251771,0.6676313603,52,112,0.1078139938,42.806,21.402,91.532,23.927,km
13323,29.23,28.654,,3,,2,0.8906967032,0.7701053741,0.8304010386,50,86,0.2529404163,28.654,14.327,54.138,23.198,km
13331,375,372.27,,3,,2,0.765679826,0.8880832257,0.8268815258,57,129,0.2349313367,372.27,186.07,818.992,17.676,km
13362,15.13,9.316,,2,,1,0.8005459387,0.7762724121,0.7884091754,47,96,0.1003970352,9.316,4.658,17.351,28.324,km
13383,,5.852,,2,,2,0.6371089605,0.6313643998,0.6342366801,95,200,0.07718828593,5.852,2.926,11.704,24.267,km
13463,,71.856,,1,,2,0.6282847777,0.6108594112,0.6195720945,83,136,0.3237435424,71.856,35.942,71.955,25.326,km
13475,,10.351,,3,,2,0.4430637401,0.7236054086,0.5833345744,50,85,0.1025751143,5.175,2.347,10.351,22.073,km
13694,30.64,18.433,,3,Wrong LCDB?,2,1.476848837,1.924118243,1.70048354,106,201,0.2025807847,40.073,18.433,74.153,29.285,km
14235,,47.845,,2,,3,0.6256908217,0.7585293204,0.6921100711,62,151,0.2054154113,47.845,23.956,71.768,28.53,km
14268,7.51,7.512,,3,,2,0.9326699031,0.9446625479,0.9386662255,67,173,0.1377941644,3.756,1.877,7.512,57.54,km
14707,,12.17,,2,,3,0.6952053044,0.802634852,0.7489200782,77,99,0.1779590911,12.17,6.132,24.735,25.942,km
15033,,4.596,,3,,2,1.134887817,1.277198651,1.206043234,65,138,0.1022603901,8.529,4.596,15.558,33.292,km
